margin_bucket,total,correct,errors,accuracy,error_rate
<0.10,681,290,391,0.42584434654919234,0.5741556534508077
0.10–0.20,537,243,294,0.45251396648044695,0.547486033519553
0.20–0.30,487,269,218,0.5523613963039015,0.44763860369609854
0.30–0.50,774,504,270,0.6511627906976745,0.3488372093023256
>=0.50,3021,2591,430,0.8576630254882489,0.14233697451175106
